Bill Name,Summary,Representative,Committee,Preamble,Word Link
S. 12,Santee Cooper Joint Project Authorization,Rankin,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 58-31-205 SO AS TO AUTHORIZE THE PUBLIC SERVICE AUTHORITY TO JOINTLY OWN, AS TENANTS-IN-COMMON OR THROUGH A LIMITED LIABILITY COMPANY, WITH INVESTOR-OWNED UTILITIES, ELECTRICAL GENERATION AND TRANSMISSION FACILITIES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/12.docx
S. 13,Tax Deduction for Employer Contributions to 529 Accounts,Rankin,Education.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 59-2-80, RELATING TO TAX FEATURES OF THE SOUTH CAROLINA COLLEGE INVESTMENT PROGRAM, SO AS TO ALLOW EMPLOYERS TO MAKE TAX DEDUCTIBLE CONTRIBUTIONS TO EMPLOYEE COLLEGE INVESTMENT TRUST ACCOUNTS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/13.docx
S. 14,Tax Free Formula and Baby Food,Hutto and Reichenbach,Finance.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 12-36-2120, RELATING TO EXEMPTIONS FROM SALES TAX SO AS TO PROVIDE A SALES TAX EXEMPTION FOR BABY FORMULA AND BABY FOOD.",https://www.scstatehouse.gov/sess126_2025-2026/bills/14.docx
S. 15,Habitual Offender Moped Exemption,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 56-1-1100, RELATING TO PENALTIES FOR DRIVING VIOLATIONS, SO AS TO PROVIDE AN EXCEPTION FOR DRIVING A MOPED FOR A PERSON DECLARED AN HABITUAL OFFENDER, AND TO REMOVE THE REQUIREMENT THAT THE DEPARTMENT OF MOTOR VEHICLES PROVIDES SPECIFIC NOTICE TO THE ATTORNEY GENERAL OR THE APPROPRIATE SOLICITOR OF ANY VIOLATIONS OF THIS SECTION.",https://www.scstatehouse.gov/sess126_2025-2026/bills/15.docx
S. 16,Status Offenders,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 63-19-820, RELATING TO OUT-OF-HOME PLACEMENT, SO AS TO ELIMINATE THE EXCEPTION FOR CHILDREN TO BE TRIED AS AN ADULT AND TO DECREASE THE LENGTH OF TIME THAT A CHILD MAY BE HELD IN A JUVENILE DETENTION FACILITY FOR COMMITTING A STATUS OFFENSE OR FOR VIOLATING A RELATED COURT ORDER; BY AMENDING SECTION 63-19-1020, RELATING TO INSTITUTING PROCEEDINGS, SO AS TO REQUIRE THAT THE CHILD AND HIS FAMILY SEEK COUNSELING WHEN THE STATUS OFFENSE IS OF INCORRIGIBILITY; BY AMENDING SECTION 63-19-1440, RELATING TO COMMITMENT, SO AS TO DISTINGUISH BETWEEN STATUS AND CRIMINAL OFFENSES AND CHANGE THE REQUIREMENTS FOR COURT ORDERS; BY AMENDING SECTION 63-19-1810, RELATING TO DETERMINATION OF RELEASE, SO AS TO MAKE CONFORMING CHANGES; AND BY AMENDING SECTION 63-19-2050, RELATING TO PETITION FOR EXPUNGEMENT OF OFFICIAL RECORDS, SO AS TO PROVIDE FOR THE AUTOMATIC EXPUNGEMENT OF OFFICIAL RECORDS FOR STATUS OFFENSES WITH EXCEPTIONS AND MAKE CONFORMING CHANGES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/16.docx
S. 17,Criminal Sexual Conduct with a Minor,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 23-3-540(A), (C), (E), AND (H), RELATING TO ELECTRONIC MONITORING, SO AS TO REQUIRE ACTIVE ELECTRONIC MONITORING FOR THE OFFENSE OF CRIMINAL SEXUAL CONDUCT WITH A MINOR IN THE SECOND DEGREE WITH EXCEPTIONS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/17.docx
S. 18,Children's Access to Firearms,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 16-23-540 SO AS TO CREATE THE OFFENSE OF CRIMINALLY NEGLIGENT STORAGE OF A FIREARM, DEFINE NECESSARY TERMS, AND ESTABLISH PENALTIES FOR VIOLATIONS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/18.docx
S. 19,Health care Professional Loan Forgiveness Program,Hutto,Education.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING ARTICLE 11 TO CHAPTER 111, TITLE 59, SO AS TO ESTABLISH THE ""HEALTH CARE PROFESSIONAL LOAN FORGIVENESS PROGRAM"", TO PROVIDE FOR THE ELIGIBILITY, ADMINISTRATION, AND FUNDING OF THE PROGRAM, TO CREATE AN ADVISORY COMMITTEE, AND TO DEFINE NECESSARY TERMS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/19.docx
S. 20,Native American,Hutto,"Fish, Game and Forestry.","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 50-9-20, RELATING TO THE DURATION OF HUNTING AND FISHING LICENSES, PERMITS, AND TAGS FOR RECREATIONAL PURPOSES, SO AS TO AMEND THE NATIVE AMERICAN INDIAN LICENSE; BY AMENDING SECTION 50-9-530, RELATING TO GRATIS, SENIOR, AND CATAWBA LICENSES, SO AS TO AMEND NATIVE AMERICAN INDIAN LICENSE AND PROVIDE FOR PROCESS FOR PROOF OF MEMBERSHIP OF A RECOGNIZED NATIVE AMERICAN TRIBE OR GROUP; BY AMENDING SECTION 50-9-570, RELATING TO THE UNLAWFUL HUNTING OF MIGRATORY GAME BIRDS WITHOUT PERMIT, SO AS TO MAKE CONFORMING CHANGES; AND BY AMENDING SECTION 50-11-515, RELATING TO THE USE OF WILD TURKEY FEATHERS IN ART, SO AS TO PROVIDE FOR THE SALE OF TRADITIONAL CRAFTS BY NATIVE AMERICAN INDIAN ARTISTS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/20.docx
S. 21,Juvenile Life Without Parole,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 16-3-15 SO AS TO PROHIBIT THE PENALTY OF LIFE IMPRISONMENT FOR ANY INDIVIDUAL WHO IS UNDER THE AGE OF EIGHTEEN AT THE TIME OF COMMITTING AN OFFENSE AND TO PROVIDE MAXIMUM SENTENCES FOR THOSE INDIVIDUALS WHO COMMITTED AN OFFENSE ENUMERATED IN THIS SECTION AS A MINOR BEFORE THE EFFECTIVE DATE OF THE ACT; BY ADDING SECTION 17-25-35 SO AS TO MAKE CONFORMING CHANGES; BY AMENDING SECTION 17-25-45, RELATING TO LIFE SENTENCES FOR CERTAIN CRIMES, SO AS TO PROVIDE FOR REPRESENTATION BY COUNSEL AND TO PROVIDE FACTORS FOR CONSIDERATION BY THE DEPARTMENT; BY ADDING SECTION 63-19-1690 SO AS TO PROHIBIT THE USE OF RESTRAINTS, ISOLATION, AND ROOM CONFINEMENT FOR JUVENILE OFFENDERS, WITH EXCEPTIONS; BY AMENDING SECTION 16-11-311, RELATING TO FIRST DEGREE BURGLARY, SO AS TO MAKE CONFORMING CHANGES; BY AMENDING SECTION 17-25-20, RELATING TO PUNISHMENT FOR A FELONY WHEN NOT SPECIALLY PROVIDED, SO AS TO PROHIBIT THE USE OF SOLITARY CONFINEMENT FOR A PERSON WHO IS YOUNGER THAN EIGHTEEN; AND BY AMENDING SECTION 24-13-100, RELATING TO THE DEFINITION OF NO PAROLE OFFENSE, SO AS TO MAKE CONFORMING CHANGES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/21.docx
S. 22,ABV Limit,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 61-4-770, RELATING TO WINES THAT MAY BE SOLD IN LICENSED ALCOHOLIC LIQUOR STORES, SO AS TO CHANGE THE PERCENTAGE OF ALCHOHOL IN WINES THAT MAY BE SOLD FROM SIXTEEN AND ONE-HALF PERCENT TO TWENTY PERCENT.",https://www.scstatehouse.gov/sess126_2025-2026/bills/22.docx
S. 23,Sex Offender Registry,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 23-3-436, RELATING TO REGISTRATION OF PERSONS ADJUDICATED DELINQUENT, SO AS TO PROVIDE THAT JUVENILES UNDER FOURTEEN YEARS OF AGE MUST NOT BE REQUIRED TO REGISTER AS SEX OFFENDERS; AND BY AMENDING SECTION 23-3-490(E), RELATING TO PUBLIC INSPECTION OF OFFENDER REGISTRY, SO AS TO REVISE THE LIST OF OFFENSES FOR WHICH JUVENILES ARE ADJUDICATED DELINQUENT THAT REQUIRE CERTAIN INFORMATION ON THE JUVENILES BE MADE AVAILABLE TO CERTAIN MEMBERS OF THE PUBLIC.",https://www.scstatehouse.gov/sess126_2025-2026/bills/23.docx
S. 24,Juvenile Commitment,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 63-19-1440(C), RELATING TO COMMITMENT TO THE CUSTODY OF THE DEPARTMENT OF JUVENILE JUSTICE, SO AS TO ALLOW A COURT TO ORDER TEMPORARY COMMITTMENT TO THE DEPARTMENT OF JUVENILE JUSTICE FOR NOT MORE THAN TEN DAYS FOR EVALUATION.",https://www.scstatehouse.gov/sess126_2025-2026/bills/24.docx
S. 25,Marriage,Hutto,Judiciary.,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 20-1-100, RELATING TO THE MINIMUM AGE FOR VALID MARRIAGE, SO AS TO PROVIDE THAT AN INDIVIDUAL YOUNGER THAN EIGHTEEN YEARS OF AGE IS NOT CAPABLE OF ENTERING INTO A VALIED MARRIAGE; BY AMENDING SECTION 20-1-290, RELATING TO WILFUL FAILURE OF LICENSE-ISSUING OFFICER TO COMPLY WITH SECTIONS 20-1-250, 20-1-260 AND 20-1-270 AS CAUSE FOR REMOVAL, SO AS TO REMOVE REFERENCES TO CODE SECTIONS REPEALED BY THIS BILL; BY REPEALING SECTION 20-1-250 RELATING TO APPLICANTS UNDER THE AGE OF CONSENT AND THE CONSENT OF RELATIVE OR GUARDIAN; AND BY REPEALING SECTION 20-1-260 RELATING TO PROOF OF AGE REQUIRED OF A MINOR APPLICANT.",https://www.scstatehouse.gov/sess126_2025-2026/bills/25.docx
S. 26,Watercraft Liability Insurance,Hutto,"Fish, Game and Forestry.","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 50-21-107 SO AS TO PROVIDE THAT OWNERS OF WATERCRAFT OF MORE THAN SEVENTY HORSEPOWER MUST CARRY LIABILITY INSURANCE OF AT LEAST FIFTY THOUSAND DOLLARS OF COVERAGE PER OCCURRENCE, TO PROVIDE PENALTIES, AND TO PROVIDE FOR THE COLLECTION OF FINES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/26.docx
