Bill Name,Summary,Representative,Committee
H. 3126,SC Dept. of Law Enforcement and Public Safety; created,Reps. Robbins and Wooten,Referred to Committee on Judiciary
H. 3127,Failure to stop a motor vehicle,Rep. Rutherford,Referred to Committee on Judiciary
H. 3128,"Parole, pardon, and clemency hearings",Rep. Rutherford,Referred to Committee on Judiciary
H. 3129,Personal Delivery Devices,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3130,Conditional release,Rep. Rutherford,Referred to Committee on Judiciary
H. 3131,Law enforcement,Rep. Rutherford,Referred to Committee on Judiciary
H. 3132,"Special license plate, Sons of Confederate veterans",Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3133,"Registration plate, illumination",Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3134,Law enforcement,Rep. Rutherford,Referred to Committee on Judiciary
H. 3135,Prisoners,Rep. Rutherford,Referred to Committee on Judiciary
H. 3136,"Driver's license, surrendered",Rep. Rutherford,Referred to Committee on Judiciary
H. 3137,Texting while driving,Rep. Rutherford,Referred to Committee on Judiciary
H. 3138,"Speed limits, minimums",Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3139,"Warrant, execution",Rep. Rutherford,Referred to Committee on Judiciary
H. 3140,Juvenile sex offenders,Rep. Rutherford,Referred to Committee on Judiciary
H. 3141,Inmate monthly in-person meetings,Rep. Rutherford,Referred to Committee on Judiciary
H. 3142,Penalties for driving offenses,Rep. Rutherford,Referred to Committee on Judiciary
H. 3143,Pardons,Rep. Rutherford,Referred to Committee on Judiciary
H. 3144,Inmate legal counsel access,Rep. Rutherford,Referred to Committee on Judiciary
H. 3145,Collection of motor vehicle stop data,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3146,Limiting public access to certain information during a hearing,Rep. Rutherford,Referred to Committee on Judiciary
H. 3147,Inmate telephonic communications,Rep. Rutherford,Referred to Committee on Judiciary
H. 3148,Suspended license,Rep. Rutherford,Referred to Committee on Judiciary
H. 3149,Motor vehicle offenses decriminalized,Rep. Rutherford,Referred to Committee on Judiciary
H. 3150,Custodial arest,Rep. Rutherford,Referred to Committee on Judiciary
H. 3151,Sunscreen devices,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3152,Speedometers,Rep. Rutherford,Referred to Committee on Judiciary
H. 3153,Tests for marijuana,Rep. Rutherford,Referred to Committee on Judiciary
H. 3154,Restitution,Rep. Rutherford,Referred to Committee on Judiciary
H. 3155,Automatic license plate readers,Rep. Rutherford,Referred to Committee on Judiciary
H. 3156,Driver's licenses,Rep. Yow,Referred to Committee on Education and Public Works
H. 3157,Hunting and fishing licenses for adoptees,Rep. Yow,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3158,Utility terrain vehicles,Rep. Yow,Referred to Committee on Education and Public Works
H. 3159,Law enforcement officers,Rep. Rutherford,Referred to Committee on Judiciary
H. 3160,Uniform Antidiscrimination Act,Rep. Rutherford,Referred to Committee on Judiciary
H. 3161,FOIA exemptions,Rep. M. M. Smith,Referred to Committee on Judiciary
H. 3162,Commission on Hearing Aid Specialists,Rep. M. M. Smith,"Referred to Committee on Labor, Commerce and Industry"
H. 3163,Occupational diseases,Rep. Wooten,"Referred to Committee on Labor, Commerce and Industry"
H. 3164,Insurance claims,Rep. Wooten,"Referred to Committee on Labor, Commerce and Industry"
H. 3165,Development impact fee,Rep. Yow,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3166,Special needs student school bus attendants,Rep. Yow,Referred to Committee on Education and Public Works
H. 3167,Handicapped student information for school bus safety,Rep. Bailey,Referred to Committee on Education and Public Works
H. 3168,Rabies vaccinations,Rep. Beach,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3169,Driving without a license,Rep. Beach,Referred to Committee on Judiciary
H. 3170,Driver's licenses,Rep. Beach,Referred to Committee on Education and Public Works
H. 3171,Maddie's Law,Rep. Burns,Referred to Committee on Judiciary
H. 3172,Certified SC Grown designation,Reps. Caskey and Wooten,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3173,Failure to yield right-of-way,Rep. Chumley,Referred to Committee on Judiciary
H. 3174,State Work Program,Rep. Collins,Referred to Committee on Judiciary
H. 3175,License plates,Rep. Davis,Referred to Committee on Education and Public Works
H. 3176,Failure to stop,Rep. Garvin,Referred to Committee on Judiciary
H. 3177,Inmate voting rights,Rep. Garvin,Referred to Committee on Judiciary
H. 3178,Establish Junteenth as a State holiday,Rep. Gatch,Referred to Committee on Ways and Means
H. 3179,Unfair trade practices,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3180,Firearms,Rep. Guffey,Referred to Committee on Judiciary
H. 3181,Sexual extortion database,Rep. Haddon,Referred to Committee on Judiciary
H. 3182,Agriculture,Rep. Haddon,Referred to Committee on Judiciary
H. 3183,Young Farmer Loan Program,Rep. Magnuson,Referred to Committee on Ways and Means
H. 3184,DEI in state universities,Rep. Magnuson,Referred to Committee on Education and Public Works
H. 3185,Transparency and Integrity in Education Act,Rep. Long,Referred to Committee on Education and Public Works
H. 3186,Historical monuments,Rep. Long,Referred to Committee on Education and Public Works
H. 3187,Barber pole,Rep. Long,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3188,Firefighter training reimbursement,Rep. King,Referred to Committee on Ways and Means
H. 3189,Local government meeting agendas,Rep. Ligon,Referred to Committee on Judiciary
H. 3190,Notary fees,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3191,School board member benefits,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3192,Special education teacher salaries,Rep. J. L. Johnson,Referred to Committee on Education and Public Works
H. 3193,Trump Criminal Background Records Check Ban Act,Rep. Hixon,Referred to Committee on Judiciary
H. 3194,Jobs-Economic Development Authority,Rep. Haddon,"Referred to Committee on Labor, Commerce and Industry"
H. 3195,Unstructured and self-directed recess in public schools,Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3196,Educator Assistance Act,Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3197,Workforce readiness,Rep. Burns,Referred to Committee on Education and Public Works
H. 3198,Food labels,Reps. Erickson and G. M. Smith,"Referred to Committee on Labor, Commerce and Industry"
H. 3199,Open enrollment in public schools,Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3200,School board meeting transparency,Reps. Davis and Erickson,Referred to Committee on Education and Public Works
H. 3201,Computer Science Education Initiative Act,Rep. Davis,Referred to Committee on Education and Public Works
H. 3202,Diagnostic and supplemental breast examination insurance,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3203,State-funded scholarships extend to accelerated programs,Rep. Collins,Referred to Committee on Education and Public Works
H. 3204,Teacher and State Superintendent of Education credentials,Rep. Collins,Referred to Committee on Education and Public Works
H. 3205,Student academic progress and results,Rep. Collins,Referred to Committee on Education and Public Works
H. 3206,Racial disparity in academic testing results,Rep. Collins,Referred to Committee on Education and Public Works
H. 3207,Teacher certification renewals,Rep. Collins,Referred to Committee on Education and Public Works
H. 3208,Grade inflation prohibition,Rep. Collins,Referred to Committee on Education and Public Works
H. 3209,Designated discliplinary classrooms,Rep. Collins,Referred to Committee on Education and Public Works
H. 3210,Non-teaching duties of public school educators,Rep. Collins,Referred to Committee on Education and Public Works
H. 3211,Occupational and professional licensing,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3212,Physical activity in schools,Rep. Chumley,Referred to Committee on Education and Public Works
H. 3213,Residential architectural review enforcement suspension,Rep. Chumley,"Referred to Committee on Labor, Commerce and Industry"
H. 3214,Public School-Based Canneries Pilot Program,Rep. Burns,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3215,Local government permit application reviews,Rep. Burns,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3216,Mandatory recording of public school instruction,Rep. Beach,Referred to Committee on Education and Public Works
H. 3217,Display of Ten Commandments in public schools,Rep. Beach,Referred to Committee on Judiciary
H. 3218,E-Verify documentation,Rep. Beach,"Referred to Committee on Labor, Commerce and Industry"
H. 3219,Rejecting Racism in Postsecondary Education Act,Rep. Beach,Referred to Committee on Education and Public Works
H. 3220,Noncitizen Terrorist Activity Prohibition in Public Institutions of Higher Learning Act,Rep. Ballentine,Referred to Committee on Education and Public Works
H. 3221,Local entity secured deposits,Rep. Bailey,"Referred to Committee on Labor, Commerce and Industry"
H. 3222,Litter control officers,Rep. Bailey,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3223,Telehealth for Veterinary Services,Rep. Garvin,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3224,Criminal convictions on employment applications,Rep. Garvin,Referred to Committee on Judiciary
H. 3225,South Carolina Service Year Act,Rep. Garvin,Referred to Committee on Education and Public Works
H. 3226,Minimum wage,Rep. Gatch,"Referred to Committee on Labor, Commerce and Industry"
H. 3227,Earthquake insurance,Rep. Gatch,"Referred to Committee on Labor, Commerce and Industry"
H. 3228,Voir Dire,Rep. Gilliard,Referred to Committee on Judiciary
H. 3229,Rental agreements,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3230,Cemetery preservation and protection,Rep. Gilliard,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3231,Advanced manufacturing and pilotage instruction,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3232,Residential rental property,Rep. Gilliard,Referred to Committee on Judiciary
H. 3233,Landlord liability,Rep. Gilliard,Referred to Committee on Judiciary
H. 3234,Credit Score for Employment Criteria,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3235,Coastal Structural Stability Study Committee,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3236,Weapons Detector Systems in Schools Act,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3237,Weapons Detectors in Schools Study Committee,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3238,Renter assistance,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3239,ATM fee limits,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3240,School board proxy vote ban,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3241,Consumer credit reports,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3242,SC School Bus Privatization,Rep. Gilliard,Referred to Committee on Ways and Means
H. 3243,Lactation care and services coverage under State Health Plan,Rep. Guffey,Referred to Committee on Ways and Means
H. 3244,Digital resources alignment with approved curriculums,Rep. Guffey,Referred to Committee on Education and Public Works
H. 3245,Public school sports participation by private and charter school students,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3246,School recess,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3247,Excused school absences,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3248,Campus security,"Reps. McCravy, Gilliam, Vaughan, T. Moore, M. M. Smith, Willis, Burns and Chumley",Referred to Committee on Education and Public Works
H. 3249,South Carolina Dependent Maternity Coverage Act,Rep. McGinnis,"Referred to Committee on Labor, Commerce and Industry"
H. 3250,State library compatibility requirements,Rep. McGinnis,Referred to Committee on Education and Public Works
H. 3251,Metric Education Committee,Rep. McGinnis,Referred to Committee on Education and Public Works
H. 3252,Higher Education Board of Regents Study Committee,Rep. W. Newton,Referred to Committee on Education and Public Works
H. 3253,Aid to private and religious organizations,Rep. W. Newton,Referred to Committee on Judiciary
H. 3254,Physician licensure,Rep. W. Newton,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3255,Uniform Athlete Agents Act,Rep. Oremus,Referred to Committee on Education and Public Works
H. 3256,Baby Olivia Act,Rep. Pope,Referred to Committee on Judiciary
H. 3257,Genetic protections in insurance policies,Reps. Pope and Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3258,Mobile panic alert systems in public schools,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3259,First responder automobile insurance premiums,Reps. Pope and Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3260,Excused school attendance for religious instruction,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3261,Workers compensation for first responders,Reps. Pope and Ligon,"Referred to Committee on Labor, Commerce and Industry"
H. 3262,Farm structures,Rep. Pope,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3263,Student physical privacy,Rep. Rose,Referred to Committee on Judiciary
H. 3264,Media Literacy and Critical Thinking Pilot Program,Rep. Rose,Referred to Committee on Education and Public Works
H. 3265,Individualized education programs,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3266,Insurance,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3267,Bodily injury and property damage limits,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3268,Local government,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3269,Private investigators,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3270,Dental specialties needing special licensure,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3271,In-State college tuition rates,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3272,Ban the Box Act,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3273,Noncompete covenants,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3274,Lottery Commission,Rep. Rutherford,Referred to Committee on Judiciary
H. 3275,Requirements for practicing law,Rep. Pope,Referred to Committee on Judiciary
H. 3276,SC Hands-Free Act,Rep. Pope,Referred to Committee on Judiciary
H. 3277,Sex offenders,Rep. Pope,Referred to Committee on Judiciary
H. 3278,Credit for time served,Rep. Moss,Referred to Committee on Judiciary
H. 3279,SC Equine Promotion Act,Reps. McCravy and T. Moore,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3280,Pardon eligibility guidelines,"Reps. McCravy, Gilliam, Vaughan, T. Moore, M. M. Smith, Willis, Burns and Chumley",Referred to Committee on Judiciary
H. 3281,Fallen First Responders,Rep. Magnuson,Referred to Committee on Judiciary
H. 3282,Secretary of Transportation,Rep. Long,Referred to Committee on Judiciary
H. 3283,CWP on college campuses,Rep. Long,Referred to Committee on Judiciary
H. 3284,Emergency scene management,Rep. Landing,Referred to Committee on Judiciary
H. 3285,Continuing law enforcement education credits and EMS training,Rep. Kilmartin,Referred to Committee on Judiciary
H. 3286,Plant-based and insect-based meats,Rep. J. L. Johnson,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3287,Driving and boating under the influence,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3288,Requesting body-worn camera data,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3289,Statewide telecommunications system,Rep. J. E. Johnson,Referred to Committee on Ways and Means
H. 3290,Deer and wild turkey tags,Rep. Hixon,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3291,Driver's license,Rep. Hixon,Referred to Committee on Education and Public Works
H. 3292,Golf carts,Rep. Hardee,Referred to Committee on Education and Public Works
H. 3293,Utility Terrain Vehicles,Rep. Hardee,Referred to Committee on Education and Public Works
H. 3294,DNR Officers,Rep. Hardee,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3295,Emergency release of vehicle location information,Rep. Haddon,Referred to Committee on Judiciary
H. 3296,Farmer Protection Act,Rep. Ballentine,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3297,Charter Schools,Rep. Beach,Referred to Committee on Ways and Means
H. 3298,Overtime income tax exemption,Rep. Beach,Referred to Committee on Ways and Means
H. 3299,Immigration,Rep. Burns,Referred to Committee on Judiciary
H. 3300,Banking reporting requirements,Rep. Burns,"Referred to Committee on Labor, Commerce and Industry"
H. 3301,Cash payments,Rep. Garvin,"Referred to Committee on Labor, Commerce and Industry"
H. 3302,Stop Surprise Bills,Rep. Hixon,"Referred to Committee on Labor, Commerce and Industry"
H. 3303,Petroleum Pipelines,Rep. Landing,"Referred to Committee on Labor, Commerce and Industry"
H. 3304,Banning Central Bank Digital Currency,Rep. W. Newton,"Referred to Committee on Labor, Commerce and Industry"
H. 3305,SC Public Expression Protection Act,Rep. Rutherford,Referred to Committee on Judiciary
H. 3306,Civil and Criminal Courts of Appeals Panels,Rep. Rutherford,Referred to Committee on Judiciary
H. 3307,Cable Service Providers Refund for Service Interruptions,Rep. Beach,"Referred to Committee on Labor, Commerce and Industry"
H. 3308,Defend the Guard Act,"Reps. G. M. Smith, Gatch, Herbkersman and Pope","Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3309,Electrical Utilities,Rep. Burns,"Referred to Committee on Labor, Commerce and Industry"
H. 3310,Closed primaries,Rep. Burns,Referred to Committee on Judiciary
