Bill Name,Summary,Representative,Committee
H. 3118,Chinese Land Ownership Prohibition,Rep. Burns,Referred to Committee on Judiciary
H. 3119,State Infrastructure Protection Act,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3120,I-95 Corridor Authority Act,Rep. Beach,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3121,Recreational Trail Easement Income Tax Credit,Rep. Bailey,Referred to Committee on Judiciary
H. 3122,Examination of the Offices of County Officers,Rep. Bailey,Referred to Committee on Judiciary
H. 3123,State anthem,Reps. Pope and Gilliam,Referred to Committee on Judiciary
H. 3124,Community Land Trust Assessment Ratio,Rep. Pace,Referred to Committee on Judiciary
H. 3125,Fruit and vegetable SNAP Grant Program,Rep. Pope,Referred to Committee on Ways and Means
H. 3126,Sales Tax Exemption,Reps. Robbins and Wooten,Referred to Committee on Judiciary
H. 3127,Homestead Exemption Increase,Rep. Rutherford,Referred to Committee on Judiciary
H. 3128,"""Uniform Voidable Transactions Act""",Rep. Rutherford,Referred to Committee on Judiciary
H. 3129,Securities Final Order Update,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3130,Shooting ranges,Rep. Rutherford,Referred to Committee on Judiciary
H. 3131,Repeal Attorney General's Duties of the Division of Public Charities,Rep. Rutherford,Referred to Committee on Judiciary
H. 3132,Small Business Sales Tax Exemption,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3133,Adult criminal offender management system,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3134,Orders of Protection,Rep. Rutherford,Referred to Committee on Judiciary
H. 3135,"Marijuana Decriminalization, Veterans",Rep. Rutherford,Referred to Committee on Judiciary
H. 3136,"Lance Corporal Melton Levi ""Fox"" Gore Memorial Intersection",Rep. Rutherford,Referred to Committee on Judiciary
H. 3137,Limitations on altering a vehicle's height,Rep. Rutherford,Referred to Committee on Judiciary
H. 3138,Disposal of Abandoned and Derelict Aircraft,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3139,US Postal Service Airmail Directional Arrow Site,Rep. Rutherford,Referred to Committee on Judiciary
H. 3140,Eviction,Rep. Rutherford,Referred to Committee on Judiciary
H. 3141,Catawba Indian Expansion,Rep. Rutherford,Referred to Committee on Judiciary
H. 3142,Robert Smalls Day,Rep. Rutherford,Referred to Committee on Judiciary
H. 3143,PORS Retirement Allowances,Rep. Rutherford,Referred to Committee on Judiciary
H. 3144,"Liquor sales, certain days",Rep. Rutherford,Referred to Committee on Judiciary
H. 3145,Alcohol Purchase Age,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3146,Alcohol Sales,Rep. Rutherford,Referred to Committee on Judiciary
H. 3147,Micro-distillery Parity Act,Rep. Rutherford,Referred to Committee on Judiciary
H. 3148,South Carolina State Employee Equal Pay for Equal Work,Rep. Rutherford,Referred to Committee on Judiciary
H. 3149,Hospitality tax,Rep. Rutherford,Referred to Committee on Judiciary
H. 3150,Alcohol - Multi Day Festival Application,Rep. Rutherford,Referred to Committee on Judiciary
H. 3151,State of Emergency,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3152,Lottery Prizes,Rep. Rutherford,Referred to Committee on Judiciary
H. 3153,Patriots Point Voluntary Income Tax Return Contribution,Rep. Rutherford,Referred to Committee on Judiciary
H. 3154,School District Consolidation,Rep. Rutherford,Referred to Committee on Judiciary
H. 3155,Petroleum pipelines,Rep. Rutherford,Referred to Committee on Judiciary
H. 3156,Restrictions on Electric Service Interruption for Nonpayment,Rep. Yow,Referred to Committee on Education and Public Works
H. 3157,Prohibit Public Utility from Collecting Additional Service Fee from Consumer's Payment,Rep. Yow,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3158,Cable Service Providers Refund for Service Interruptions,Rep. Yow,Referred to Committee on Education and Public Works
H. 3159,Ethics - Lobbyist Reports and Prohibited Financial Gains and Contributions,Rep. Rutherford,Referred to Committee on Judiciary
H. 3160,Transportation Network Companies,Rep. Rutherford,Referred to Committee on Judiciary
H. 3161,Closed primaries,Rep. M. M. Smith,Referred to Committee on Judiciary
H. 3162,Paper ballots,Rep. M. M. Smith,"Referred to Committee on Labor, Commerce and Industry"
H. 3163,"Motor vehicles, newly acquired and tagless",Rep. Wooten,"Referred to Committee on Labor, Commerce and Industry"
H. 3164,Candidate qualifications,Rep. Wooten,"Referred to Committee on Labor, Commerce and Industry"
H. 3165,Reckless driving,Rep. Yow,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3166,"Motor vehicles, proof of insurance",Rep. Yow,Referred to Committee on Education and Public Works
H. 3167,"President and Vice President, candidate qualifications",Rep. Bailey,Referred to Committee on Education and Public Works
H. 3168,Antique motor vehicle tags,Rep. Beach,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3169,Municipal arrest warrants,Rep. Beach,Referred to Committee on Judiciary
H. 3170,Treatment of pregnant and postpartum inmates,Rep. Beach,Referred to Committee on Education and Public Works
H. 3171,"Specialty license plates, Afghanistan War Veteran",Rep. Burns,Referred to Committee on Judiciary
H. 3172,"Voter Registration, DMV transactions",Reps. Caskey and Wooten,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3173,Independent Reapportionment Commission,Rep. Chumley,Referred to Committee on Judiciary
H. 3174,Littering civil offense,Rep. Collins,Referred to Committee on Judiciary
H. 3175,Assault and battery on health care workers,Rep. Davis,Referred to Committee on Education and Public Works
H. 3176,Charles Bundy Memorial Intersection,Rep. Garvin,Referred to Committee on Judiciary
H. 3177,"Road use fees, electric vehicles",Rep. Garvin,Referred to Committee on Judiciary
H. 3178,"Law enforcement, mass shooting tort liability",Rep. Gatch,Referred to Committee on Ways and Means
H. 3179,Chief Jerry Williams dedication,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3180,"Property exempt from attachment, levy or sale",Rep. Guffey,Referred to Committee on Judiciary
H. 3181,Drug offense classifications,Rep. Haddon,Referred to Committee on Judiciary
H. 3182,Immunity from Criminal Prosecution,Rep. Haddon,Referred to Committee on Judiciary
H. 3183,Electoral college,Rep. Magnuson,Referred to Committee on Ways and Means
H. 3184,Unlawful Permitting - Marine Seismic Testing,Rep. Magnuson,Referred to Committee on Education and Public Works
H. 3185,Youthful offenders,Rep. Long,Referred to Committee on Education and Public Works
H. 3186,Supervised furlough program,Rep. Long,Referred to Committee on Education and Public Works
H. 3187,Inmate work camps,Rep. Long,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3188,Inmate furloughs,Rep. King,Referred to Committee on Ways and Means
H. 3189,Contraband cell phones,Rep. Ligon,Referred to Committee on Judiciary
H. 3190,Work release program,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3191,Inmate classification system,Rep. J. L. Johnson,Referred to Committee on Ways and Means
H. 3192,"Corrections, statewide case classification system",Rep. J. L. Johnson,Referred to Committee on Education and Public Works
H. 3193,"Corrections, outdated code references",Rep. Hixon,Referred to Committee on Judiciary
H. 3194,"Supervisory agents, youthful offenders",Rep. Haddon,"Referred to Committee on Labor, Commerce and Industry"
H. 3195,"Corrections, returning retired employees",Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3196,"Attorney Fees, DSS Actions",Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3197,Parental Bill of Rights,Rep. Burns,Referred to Committee on Education and Public Works
H. 3198,Justice Forty Oversight Committee,Reps. Erickson and G. M. Smith,"Referred to Committee on Labor, Commerce and Industry"
H. 3199,Divorce,Reps. Erickson and G. M. Smith,Referred to Committee on Education and Public Works
H. 3200,Foster Youth,Reps. Davis and Erickson,Referred to Committee on Education and Public Works
H. 3201,Foster Care Adoptions Study Committee,Rep. Davis,Referred to Committee on Education and Public Works
H. 3202,Inmate Cancer Screenings,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3203,Mold Remediation,Rep. Collins,Referred to Committee on Education and Public Works
H. 3204,Psypact,Rep. Collins,Referred to Committee on Education and Public Works
H. 3205,Maternal Mortality Study Committee,Rep. Collins,Referred to Committee on Education and Public Works
H. 3206,Medicaid Expansion,Rep. Collins,Referred to Committee on Education and Public Works
H. 3207,Termination of Parental Rights,Rep. Collins,Referred to Committee on Education and Public Works
H. 3208,Controlled Substance Scheduling,Rep. Collins,Referred to Committee on Education and Public Works
H. 3209,Economic Development,Rep. Collins,Referred to Committee on Education and Public Works
H. 3210,Child Support Enforcement,Rep. Collins,Referred to Committee on Education and Public Works
H. 3211,Controlled Substances,Rep. Collins,"Referred to Committee on Labor, Commerce and Industry"
H. 3212,Mental Health,Rep. Chumley,Referred to Committee on Education and Public Works
H. 3213,Foster Care Case Workers,Rep. Chumley,"Referred to Committee on Labor, Commerce and Industry"
H. 3214,Residential Food Production Operations,Rep. Burns,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3215,No Patient Left Alone Act,Rep. Burns,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3216,Opioid Overdose Prevention,Rep. Beach,Referred to Committee on Education and Public Works
H. 3217,Uniform Unregulated Child Custody Transfer Act,Rep. Beach,Referred to Committee on Judiciary
H. 3218,Department of Mental Health,Rep. Beach,"Referred to Committee on Labor, Commerce and Industry"
H. 3219,Youth Mentor Act,Rep. Beach,Referred to Committee on Education and Public Works
H. 3220,Uniform Child Abduction Prevention Act,Rep. Ballentine,Referred to Committee on Education and Public Works
H. 3221,Fentanyl,Rep. Bailey,"Referred to Committee on Labor, Commerce and Industry"
H. 3222,Alimony,Rep. Bailey,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3223,Divorce,Rep. Garvin,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3224,Cure Act,Rep. Garvin,Referred to Committee on Judiciary
H. 3225,Certificate of Foreign Birth,Rep. Garvin,Referred to Committee on Education and Public Works
H. 3226,Put Patients First Act,Rep. Gatch,"Referred to Committee on Labor, Commerce and Industry"
H. 3227,Status Offenses,Rep. Gatch,"Referred to Committee on Labor, Commerce and Industry"
H. 3228,Alimony,Rep. Gilliard,Referred to Committee on Judiciary
H. 3229,Tattoo Facilities,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3230,Child Interrogations,Rep. Gilliard,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3231,Department of Health and Human Services,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3232,Medical Records,Rep. Gilliard,Referred to Committee on Judiciary
H. 3233,Sexually Violent Predator Program,Rep. Gilliard,Referred to Committee on Judiciary
H. 3234,SC Call Center Jobs Act,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3235,Emergency Management Divisions,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3236,Local Government - Annexations,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3237,Safe Cremation Act,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3238,Animal Cruelty,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3239,DHEC Restructuring,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3240,Elections,Rep. Gilliard,Referred to Committee on Education and Public Works
H. 3241,Commercial Driver License,Rep. Gilliard,"Referred to Committee on Labor, Commerce and Industry"
H. 3242,Campaign Finance,Rep. Gilliard,Referred to Committee on Ways and Means
H. 3243,SC Citizens Redistricting Commission,Rep. Guffey,Referred to Committee on Ways and Means
H. 3244,Elections,Rep. Guffey,Referred to Committee on Education and Public Works
H. 3245,Redistricting,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3246,Local Government - Pickens County School Board of Trustees,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3247,Fargo's and Hyco's Law,Rep. Haddon,Referred to Committee on Education and Public Works
H. 3248,Local Government - Pickens County School Board of Trustees,"Reps. McCravy, Gilliam, Vaughan, T. Moore, M. M. Smith, Willis, Burns and Chumley",Referred to Committee on Education and Public Works
H. 3249,Term limits,Rep. McGinnis,"Referred to Committee on Labor, Commerce and Industry"
H. 3250,Term Limits,Rep. McGinnis,Referred to Committee on Education and Public Works
H. 3251,Residential rental property,Rep. McGinnis,Referred to Committee on Education and Public Works
H. 3252,Health Disparities Study Committee,Rep. W. Newton,Referred to Committee on Education and Public Works
H. 3253,Short-term rentals,Rep. W. Newton,Referred to Committee on Judiciary
H. 3254,Dorchester County School District 2 & 4,Rep. W. Newton,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3255,Kidney donation,Rep. Oremus,Referred to Committee on Education and Public Works
H. 3256,Rural Area Support Act,Rep. Pope,Referred to Committee on Judiciary
H. 3257,Legislative delegation,Reps. Pope and Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3258,Political signs,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3259,Homeowners association,Reps. Pope and Gilliam,"Referred to Committee on Labor, Commerce and Industry"
H. 3260,Automobile Insurance,Reps. Pope and Gilliam,Referred to Committee on Education and Public Works
H. 3261,Service contracts,Reps. Pope and Ligon,"Referred to Committee on Labor, Commerce and Industry"
H. 3262,Service Contracts,Rep. Pope,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3263,Police Brutality Citizens Review Committee,Rep. Rose,Referred to Committee on Judiciary
H. 3264,Rent Control,Rep. Rose,Referred to Committee on Education and Public Works
H. 3265,Resident vendor preferences,Rep. Rutherford,Referred to Committee on Education and Public Works
H. 3266,SC Equine Promotion Act,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3267,Division of Public Charities,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3268,South Carolina Film Commission,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3269,Department of Natural Resources,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3270,Public Officers; reporting of gifts,Rep. Rutherford,"Referred to Committee on Medical, Military, Public and Municipal Affairs"
H. 3271,Advanced Manufacturing and Pilotage Instruction,Rep. Rutherford,Referred to Committee on Ways and Means
H. 3272,Workers' Compensation,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3273,Insurance premiums,Rep. Rutherford,"Referred to Committee on Labor, Commerce and Industry"
H. 3274,Insurance,Rep. Rutherford,Referred to Committee on Judiciary
H. 3275,Bodily injury and property damage limits,Rep. Pope,Referred to Committee on Judiciary
H. 3276,Local Government,Rep. Pope,Referred to Committee on Judiciary
H. 3277,Elected officers,Rep. Pope,Referred to Committee on Judiciary
H. 3278,Real estate appraisers,Rep. Moss,Referred to Committee on Judiciary
H. 3279,Boating safety,Reps. McCravy and T. Moore,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3280,Veterans' Affairs officers,"Reps. McCravy, Gilliam, Vaughan, T. Moore, M. M. Smith, Willis, Burns and Chumley",Referred to Committee on Judiciary
H. 3281,Hunting and fishing licenses,Rep. Magnuson,Referred to Committee on Judiciary
H. 3282,Public buildings,Rep. Long,Referred to Committee on Judiciary
H. 3283,School attendance requirements,Rep. Long,Referred to Committee on Judiciary
H. 3284,Public School Library Materials,Rep. Landing,Referred to Committee on Judiciary
H. 3285,Dyslexia Screenings,Rep. Kilmartin,Referred to Committee on Judiciary
H. 3286,Freedom of Employment Contract Act,Rep. J. L. Johnson,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3287,Student athletes,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3288,Occupational and professional licensing,Rep. J. L. Johnson,Referred to Committee on Judiciary
H. 3289,Alternate education programs,Rep. J. E. Johnson,Referred to Committee on Ways and Means
H. 3290,Dead body transfers between funeral service providers,Rep. Hixon,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3291,Student information for school bus safety,Rep. Hixon,Referred to Committee on Education and Public Works
H. 3292,Physical activity in schools,Rep. Hardee,Referred to Committee on Education and Public Works
H. 3293,Cellphone ban in public school classrooms,Rep. Hardee,Referred to Committee on Education and Public Works
H. 3294,Non-teaching duties of educators,Rep. Hardee,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3295,Education: Competency-based education,Rep. Haddon,Referred to Committee on Judiciary
H. 3296,School principals,Rep. Ballentine,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs"
H. 3297,Designated disciplinary classrooms,Rep. Beach,Referred to Committee on Ways and Means
H. 3298,In-state tuition rates,Rep. Beach,Referred to Committee on Ways and Means
H. 3299,Grade inflation prohibition,Rep. Burns,Referred to Committee on Judiciary
H. 3300,Teacher certification renewals,Rep. Burns,"Referred to Committee on Labor, Commerce and Industry"
H. 3301,Racial disparity in academic testing results,Rep. Garvin,"Referred to Committee on Labor, Commerce and Industry"
H. 3302,Menstrual hygiene products in schools,Rep. Hixon,"Referred to Committee on Labor, Commerce and Industry"
H. 3303,Excused Absences in Public Schools,Rep. Landing,"Referred to Committee on Labor, Commerce and Industry"
