Bill Name,Summary,Representative,Committee,Preamble,Word Link
H. 3012,Pregnancy CARE Act,Rep. Pope,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""PREGNANCY CENTER AUTONOMY AND RIGHTS OF EXPRESSION (CARE) ACT"" BY ADDING CHAPTER 141 TO TITLE 44 SO AS TO PROVIDE PREGNANCY CENTERS CERTAIN PROTECTIONS FROM GOVERNMENT REGULATION TO ENSURE THEIR ABILITY TO PROVIDE SERVICES CONSISTENT WITH THEIR LIFE-AFFIRMING OPERATING PRINCIPLES; TO CREATE A PRIVATE RIGHT OF ACTION FOR EQUITABLE RELIEF AND MONETARY DAMAGES FOR VIOLATION OF A PROVISION OF THE CHAPTER; AND FOR OTHER PURPOSES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3012.docx
H. 3013,Guardians ad Litem,Rep. Robbins,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 63-3-820, RELATING TO QUALIFICATIONS TO SERVE AS A GUARDIAN AD LITEM IN PRIVATE FAMILY COURT CASES, SO AS TO REQUIRE A CRIMINAL HISTORY BACKGROUND CHECK TO SERVE AS A GUARDIAN AD LITEM.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3013.docx
H. 3014,Visitation,Rep. Robbins,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 63-17-20, RELATING IN PART TO AN UNMARRIED FATHER'S VISITATION RIGHTS, SO AS TO REQUIRE THE COURT TO AWARD VISITATION TO THE FATHER IF PATERNITY IS ACKNOWLEDGED OR ADJUDICATED, WITH EXCEPTIONS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3014.docx
H. 3015,Tattoo Facilities,Rep. Rutherford,"Medical, Military, Public and Municipal Affairs","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 44-34-110, RELATING TO CERTAIN RESTRICTIONS ON LOCATIONS OF TATTOO FACILITIES, SO AS TO ALLOW THE ISSUANCE OF A LICENSE FOR SUCH A FACILITY IF ALL CHURCHES, SCHOOLS, AND PLAYGROUNDS WITHIN THE PARAMETERS AFFIRMATIVELY STATE THAT THEY DO NOT OBJECT TO THE ISSUANCE, WITH EXCEPTIONS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3015.docx
H. 3016,Child Interrogations,Rep. Rutherford,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 63-19-815 SO AS TO REQUIRE LAW ENFORCEMENT OFFICERS TO COMPLY WITH CERTAIN REQUIREMENTS BEFORE INTERROGATING A CHILD WHO HAS BEEN TAKEN INTO CUSTODY FOR VIOLATING A CRIMINAL LAW OR ORDINANCE, AND FOR OTHER PURPOSES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3016.docx
H. 3017,Ephedrine Products,Rep. Rutherford,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY REPEALING SECTION 44-53-398 RELATING TO THE SALE OF NONPRESCRIPTION PRODUCTS CONTAINING EPHEDRINE OR PSEUDOEPHEDRINE; AND BY REPEALING ARTICLE 14 OF CHAPTER 3, TITLE 23 RELATING TO THE SLED ELECTRONIC MONITORING SYSTEM TO MONITOR THE SALE OF SUCH NONPRESCRIPTION PRODUCTS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3017.docx
H. 3018,"Marijuana Decriminalization, Veterans",Rep. Rutherford,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 44-53-370, RELATING TO CONTROLLED SUBSTANCE OFFENSES AND PENALTIES, SO AS TO LEGALIZE THE POSSESSION OF TWENTY-EIGHT GRAMS OR ONE OUNCE OR LESS OF MARIJUANA OR TEN GRAMS OR LESS OF HASHISH BY CERTAIN VETERANS DIAGNOSED WITH SERVICE-CONNECTED POST-TRAUMATIC STRESS DISORDER.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3018.docx
H. 3019,Put Patients First Act,Rep. Rutherford,"Medical, Military, Public and Municipal Affairs","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""PUT PATIENTS FIRST ACT"" BY ADDING ARTICLE 22 TO CHAPTER 53, TITLE 44 SO AS TO AUTHORIZE REGISTERED PATIENTS TO USE MARIJUANA FOR MEDICAL PURPOSES, PHYSICIANS TO RECOMMEND THE MEDICAL USE OF MARIJUANA FOR THOSE PATIENTS, AND INDIVIDUALS TO ACT AS REGISTERED CAREGIVERS FOR THOSE PATIENTS, ALL WITH EXCEPTIONS; TO CREATE A CONFIDENTIAL REGISTRY THROUGH WHICH TO ISSUE IDENTIFICATION CARDS TO REGISTERED PATIENTS AND REGISTERED CAREGIVERS; TO PROVIDE CERTAIN DEFENSES AND OTHER PROTECTIONS TO REGISTERED PATIENTS, REGISTERED CAREGIVERS, AND PHYSICIANS FROM CRIMINAL LIABILITY AND PROFESSIONAL DISCIPLINE FOR CONDUCT AUTHORIZED BY THIS ARTICLE; TO AUTHORIZE THE OPERATION OF DISPENSARIES TO CULTIVATE, GROW, AND DISPENSE MARIJUANA FOR MEDICAL USE; TO PROVIDE CERTAIN DEFENSES AND PROTECTIONS TO DISPENSARIES FOR CONDUCT AUTHORIZED BY THIS ARTICLE; TO ALLOW ESTABLISHMENT OF FEES; TO CREATE CRIMINAL PENALTIES; TO PROVIDE FOR THE PROMULGATION OF REGULATIONS AND DEVELOPMENT OF GUIDANCE AND FORMS; AND FOR OTHER PURPOSES; AND BY REPEALING ARTICLE 4 OF CHAPTER 53, TITLE 44 RELATING TO CONTROLLED SUBSTANCES THERAPEUTIC RESEARCH.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3019.docx
H. 3020,Status Offenses,Rep. Rutherford,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTIONS 63-1-40 AND 63-19-20, BOTH RELATING TO STATUS OFFENSES, SO AS TO ELIMINATE PLAYING A PINBALL MACHINE AS A STATUS OFFENSE; AND BY REPEALING SECTION 63-19-2430 RELATING TO THE PLAYING OF PINBALL MACHINES BY A MINOR.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3020.docx
H. 3021,Small Business Regulatory Freedom Act,,"Labor, Commerce and Industry","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""SMALL BUSINESS REGULATORY FREEDOM ACT"" BY ADDING SECTION 1-23-285 SO AS TO PROVIDE THE SMALL BUSINESS REGULATORY REVIEW COMMITTEE SHALL CONDUCT AN INITIAL REVIEW OF REGULATIONS PENDING REAUTHORIZATION AND MAKE RECOMMENDATIONS TO THE GENERAL ASSEMBLY FOR RETAINING OR REMOVING REGULATIONS, TO PROVIDE IT IS THE DUTY OF THE COMMITTEE WHEN REVIEWING REGULATIONS TO REDUCE THE OVERALL REGULATORY BURDEN ON BUSINESSES BY REDUCING THE NUMBER OF REGULATORY REQUIREMENTS BY TWENTY-FIVE PERCENT, AND TO PROVIDE THE COMMITTEE MAY REQUEST ANY NECESSARY INFORMATION FROM STATE AGENCIES AND TO REQUIRE THE COMPLIANCE OF AGENCIES WITH THESE REQUESTS, AMONG OTHER THINGS; BY AMENDING SECTION 1-23-110, RELATING TO THE PROCESS FOR PROMULGATING REGULATIONS UNDER THE ADMINISTRATIVE PROCEDURES ACT SO AS TO PROVIDE AGENCIES MAY NOT PROMULGATE REGULATIONS ABSENT EXPRESS STATUTORY AUTHORITY AND CITATION TO THE SPECIFIC STATUTORY AUTHORITY, TO PROVIDE FOR EVERY REGULATION AN AGENCY PROPOSES, IT MUST IDENTIFY AND PROPOSE TWO OF ITS REGULATIONS TO REMOVE, TO PROVIDE PERSONS AGGRIEVED BY A REGULATION MAY CHALLENGE THE VALIDITY OF THE REGULATION IN A COURT OF COMPETENT JURISDICTION, AND TO PROVIDE COURTS MAY DECLARE REGULATIONS INVALID UPON FINDING AN ABSENCE OF EXPRESS STATUTORY AUTHORITY TO PROMULGATE; BY AMENDING SECTION 1-23-115, RELATING TO ASSESSMENT REPORTS FOR REGULATIONS SUBMITTED FOR PROMULGATION, SO AS TO PROVIDE ALL REGULATIONS SUBMITTED FOR PROMULGATION MUST INCLUDE ASSESSMENT REPORTS, TO ALLOW LONGER REVIEW PERIODS IN CERTAIN CIRCUMSTANCES, TO PROVIDE DISCOUNT RATES MUST BE JUSTIFIED IF APPLIED IN AN ANALYSIS REPORT, TO PROVIDE PROMULGATING AGENCIES MUST CONDUCT RETROSPECTIVE ASSESSMENT REPORTS IN CERTAIN CIRCUMSTANCES, TO PROVIDE ASSESSMENT CONTENTS MUST BE MADE PUBLICLY AVAILABLE IN A CERTAIN MANNER, TO PROVIDE CERTAIN STANDARDIZED ANALYTIC METHODS AND METRICS MUST BE APPLIED TO ALL REGULATIONS, TO REQUIRE RETROSPECTIVE ASSESSMENT REPORTS BE CONDUCTED WHEN REGULATIONS ARE REVIEWED FOR RENEWAL, AMONG OTHER THINGS; BY AMENDING SECTION 1-23-120, RELATING TO DOCUMENTS REQUIRED TO BE FILED TO INITIATE THE REVIEW PROCESS FOR A REGULATION, SO AS TO REQUIRE THE DOCUMENTS INCLUDE AN AUTOMATIC EXPIRATION DATE, AND TO PROVIDE FOR THE AUTOMATIC EXPIRATION AND PERIODIC REVIEW OF REGULATIONS; AND BY AMENDING SECTION 1-23-380, RELATING TO JUDICIAL REVIEW UPON EXHAUSTION OF ADMINISTRATIVE REMEDIES, SO AS TO PROVIDE REQUIREMENTS FOR JUDICIAL REVIEW OF AGENCY INTERPRETATIONS OF REGULATIONS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3021.docx
H. 3022,Long Term Care Council,,"Medical, Military, Public and Municipal Affairs","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 43-21-130, RELATING TO THE LONG-TERM CARE COUNCIL, SO AS TO CORRECT REFERENCES TO CERTAIN AGENCIES WITH MEMBERSHIP ON THE COUNCIL; BY AMENDING SECTION 43-21-140, RELATING TO THE PURPOSE AND DUTIES OF COUNCIL, SO AS TO PROVIDE FOR THE SHARING OF DATA WITH MEMBER AGENCIES; AND FOR OTHER PURPOSES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3022.docx
H. 3023,Adult Protection Coordinating Council,,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 43-35-310, RELATING TO THE ADULT PROTECTION COORDINATING COUNCIL, SO AS TO CORRECT A MEMBER AGENCY NAME.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3023.docx
H. 3024,Alzheimer's Disease,,"Medical, Military, Public and Municipal Affairs","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 44-36-330, RELATING TO THE ADVISORY COUNCIL OF THE ALZHEIMER'S DISEASE AND RELATED DISORDERS RESOURCE COORDINATING CENTER, SO AS TO ALLOW FOR REPRESENTATION OF THE HOUSE OF REPRESENTATIVES AND SENATE ON THE ADVISORY COUNCIL.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3024.docx
H. 3025,Geriatric Physician Loan Forgiveness Program,,"Medical, Military, Public and Municipal Affairs","A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 43-21-200, RELATING TO THE GERIATRIC PHYSICIAN LOAN FORGIVENESS PROGRAM, SO AS TO EXPAND THE POOL OF ELIGIBLE HEALTH PROFESSIONALS AND TO INCREASE THE TOTAL AMOUNT OF REIMBURSABLE LOANS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3025.docx
H. 3026,"Bond, circuit court for illegal aliens",Rep. Beach,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 17-15-30, RELATING TO BOND AND MATTERS TO BE CONSIDERED IN DETERMINING CONDITIONS OF RELEASE, SO AS TO REQUIRE A CIRCUIT COURT JUDGE TO SET OR DENY BOND AND DETERMINE CONDITIONS OF RELEASE OF PERSONS CHARGED WITH CRIMES THAT CARRY MAXIMUM SENTENCES OF THREE YEARS OR MORE AND WHO ARE SUSPECTED OF BEING ILLEGAL ALIENS.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3026.docx
H. 3027,Vulnerable Adults,,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 43-35-25, RELATING TO MANDATED REPORTERS OF VULNERABLE ADULT MALTREATMENT, SO AS TO EXEMPT FROM THE REQUIREMENT TO REPORT THE LONG-TERM CARE OMBUDSMAN PROGRAM AND ITS REPRESENTATIVES IN ACCORDANCE WITH FEDERAL LAW.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3027.docx
H. 3028,Bond release,Rep. Bailey,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 16-25-120, RELATING TO RELEASE ON BOND AND FACTORS TO CONSIDER WHEN GRANTING BOND FOR VIOLENT OFFENDERS AND DOMESTIC VIOLENCE OFFENDERS, SO AS TO ALLOW THE COURT, IN LIEU OF SETTING BOND OR AS AN ADDITIONAL CONDITION OF RELEASE ON BOND, TO PLACE A PERSON CHARGED WITH A DOMESTIC VIOLENCE OFFENSE ON SURVEILLANCE VIA AN ACTIVE ELECTRONIC MONITORING DEVICE CAPABLE OF KEEPING THE VICTIM OF THE OFFENSE NOTIFIED AT ALL TIMES OF THE PERSON'S IMMEDIATE LOCATION, TO PROVIDE PROCEDURES FOR THE MONITORING, AND TO PROVIDE PENALTIES FOR TAMPERING WITH AN ACTIVE ELECTRONIC MONITORING DEVICE",https://www.scstatehouse.gov/sess126_2025-2026/bills/3028.docx
H. 3029,Alimony,Rep. Rutherford,Judiciary,A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 20-3-132 SO AS TO REQUIRE THE USE OF CERTAIN SPOUSAL BENEFIT PAYMENTS TO OFFSET ALIMONY OWED BY THE PAYOR SPOUSE.,https://www.scstatehouse.gov/sess126_2025-2026/bills/3029.docx
H. 3030,Undocumented individuals,Rep. Burns,Judiciary,"A JOINT RESOLUTION TO DIRECT COUNTY AND MUNICIPAL LAW ENFORCEMENT AGENCIES TO PARTICIPATE IN AT LEAST ONE OF THE U.S. IMMIGRATION AND CUSTOMS ENFORCEMENT'S SECTION 287(G) PROGRAMS AND TO REQUIRE COUNTY AND MUNICIPAL LAW ENFORCEMENT AGENCIES, UPON LEARNING OF ILLEGAL OPERATIONS, TO BRING UNDOCUMENTED INDIVIDUALS TO THIS STATE TO COOPERATE FULLY WITH THE U.S. ATTORNEY'S OFFICE TO COMMENCE RICO-BASED SEIZURES TO SEIZE ALL ASSETS USED IN THE EFFORTS TO IMPORT UNDOCUMENTED INDIVIDUALS TO THIS STATE.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3030.docx
H. 3031,"Stand Your Ground, religious services",Rep. Chumley,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 16-11-420, RELATING TO INTENT AND FINDINGS OF THE GENERAL ASSEMBLY RELATING TO THE ARTICLE COMMONLY REFERRED TO AS STAND YOUR GROUND, SO AS TO INCLUDE PLACES OF WORSHIP; BY AMENDING SECTION 16-11-430, RELATING TO DEFINITIONS FOR PURPOSES OF STAND YOUR GROUND PROVISIONS, SO AS TO DEFINE THE TERM ""PLACE OF WORSHIP""; AND BY AMENDING SECTION 16-11-440, RELATING TO THE PRESUMPTION OF REASONABLE FEAR OF IMMINENT PERIL WHEN USING DEADLY FORCE AGAINST ANOTHER UNLAWFULLY ENTERING A RESIDENCE, OCCUPIED VEHICLE, OR PLACE OF BUSINESS, SO AS TO INCLUDE PLACES OF WORSHIP IN THE PURVIEW OF THE STATUTE.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3031.docx
H. 3032,Disrupting a religious service or funeral,Rep. Chumley,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 16-17-530, RELATING TO PUBLIC DISORDERLY CONDUCT, SO AS TO  RESTRUCTURE THE OFFENSE TO INCLUDE DISRUPTING OR DISTURBING A RELIGIOUS SERVICE OR FUNERAL IN THE PURVIEW OF THE STATUTE AND TO PROVIDE GRADUATED PENALTIES FOR A VIOLATION OF A DISORDERLY CONDUCT OFFENSE; AND BY REPEALING SECTIONS 16-17-520 AND 16-17-525 RELATING TO DISTURBING RELIGIOUS SERVICES AND FUNERALS, RESPECTIVELY.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3032.docx
H. 3033,"Judicial Elections, lawyer-legislators",Rep. Chumley,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 2-19-5, RELATING TO SOUTH CAROLINA JUDICIAL MERIT SELECTION COMMISSION CREATION, APPOINTMENT, AND TERMS, SO AS TO REQUIRE ATTORNEY-LEGISLATORS WHO SERVE ON THE COMMISSION TO RECUSE THEMSELVES FROM THE VOTE AND SCREENING PROCESS OF JUDGES OR JUSTICES THEY APPEAR BEFORE OR HAVE APPEARED BEFORE IN THE PRECEDING FIVE-YEAR PERIOD; AND BY AMENDING SECTION 2-19-90, RELATING TO ELECTION OF JUDGES AND JUSTICES BY THE GENERAL ASSEMBLY IN JOINT SESSION, SO AS TO REQUIRE ATTORNEY-LEGISLATORS WHO SERVE ON THE COMMISSION TO RECUSE THEMSELVES FROM THE VOTE AND SCREENING PROCESS OF JUDGES OR JUSTICES THEY APPEAR BEFORE OR HAVE APPEARED BEFORE IN THE PRECEDING FIVE-YEAR PERIOD.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3033.docx
H. 3034,"Fargo's, Hyco's, Rico's, Coba's, Wick's, and Mikka's Law",Rep. Collins,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ENACTING THE ""FARGO'S, HYCO'S, RICO'S, COBA'S, WICK'S, AND MIKKA'S LAW"" BY AMENDING ARTICLE 11 OF CHAPTER 3, TITLE 47, RELATING TO TAUNTING, TORMENTING, INJURING, OR KILLING POLICE DOGS OR HORSES, SO AS TO EXPAND THE CONDUCT THAT RESULTS IN A VIOLATION, INCREASE THE PENALTIES, REQUIRE RESTITUTION TO THE LAW ENFORCEMENT DEPARTMENT OR AGENCY, AND MAKE TECHNICAL CHANGES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3034.docx
H. 3035,Unlawful dissemination of sexually explicit materials,Rep. Garvin,Judiciary,A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTION 16-15-260 SO AS TO CREATE THE OFFENSE OF UNLAWFUL DISSEMINATION OF SEXUALLY EXPLICIT MATERIALS.,https://www.scstatehouse.gov/sess126_2025-2026/bills/3035.docx
H. 3036,Teen Dating Violence Prevention Act,Rep. Garvin,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING ARTICLE 9 TO CHAPTER 25, TITLE 16 SO AS TO ENACT THE ""TEEN DATING VIOLENCE PREVENTION ACT,"" TO DEFINE NECESSARY TERMS, CREATE THE OFFENSE OF TEEN DATING VIOLENCE, PROVIDE A PENALTY, ALLOW VICTIMS TO SEEK ORDERS OF PROTECTION OR RESTRAINING ORDERS UNDER CERTAIN CIRCUMSTANCES, AND PROHIBIT A PERSON WHO VIOLATES THE PROVISIONS OF THE SECTION FROM PARTICIPATING IN A PRETRIAL INTERVENTION PROGRAM; TO AMEND SECTION 59-32-10, RELATING TO DEFINITIONS FOR PURPOSES OF THE COMPREHENSIVE HEALTH EDUCATION ACT, SO AS TO DEFINE THE TERM ""TEEN DATING VIOLENCE""; AND TO AMEND SECTIONS 59-32-20, 59-32-30, AND 59-32-50, ALL RELATING TO THE REQUIREMENTS OF THE COMPREHENSIVE HEALTH EDUCATION ACT, ALL SO AS TO REQUIRE THE INCLUSION OF TEEN DATING VIOLENCE EDUCATION IN THE COMPREHENSIVE HEALTH EDUCATION CURRICULUM AND MAKE CONFORMING CHANGES.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3036.docx
H. 3037,Citizens' Arrest,Rep. Garvin,Judiciary,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 17-13-20, RELATING TO CIRCUMSTANCES WHEN CITIZENS MAY ARREST, SO AS TO LIMIT THE CIRCUMSTANCES IN WHICH A CITIZEN MAY ARREST, INCLUDING TAKING THE LIFE OF THE PERSON, TO ARREST A PERSON WHO HAS ENTERED A DWELLING HOUSE WITHOUT EXPRESS OR IMPLIED PERMISSION.",https://www.scstatehouse.gov/sess126_2025-2026/bills/3037.docx
